,operation,machine,start_time,end_time
0,0,0,50,55
1,1,4,72,366
2,2,1,371,376
3,3,4,386,474
4,4,2,479,489
5,5,4,496,564
6,6,2,565,575
7,7,4,578,646
8,8,2,646,656
9,9,0,0,5
10,10,5,5,329
11,11,1,333,338
12,12,5,338,419
13,13,2,424,434
14,14,5,434,515
15,15,2,515,525
16,16,5,525,606
17,17,2,606,616
18,18,5,616,697
19,19,2,697,707
20,20,0,40,45
21,21,4,100,394
22,22,1,399,404
23,23,4,414,485
24,24,2,490,500
25,25,4,500,572
26,26,2,577,587
27,27,4,587,655
28,28,2,659,669
29,29,0,30,35
30,30,3,35,316
31,31,1,321,326
32,32,3,328,398
33,33,2,399,409
34,34,0,10,15
35,35,3,27,236
36,36,1,238,243
37,37,3,253,317
38,38,2,317,327
39,39,3,327,374
40,40,2,374,384
41,41,3,393,454
42,42,2,454,464
43,43,3,470,535
44,44,2,540,550
45,45,0,20,25
46,46,3,34,243
47,47,1,248,253
48,48,3,256,323
49,49,2,328,338
